"CID","CNAME","CADDR","IND_CAT","Response_Address","Response_X","Response_Y","city","dist","village","neighbour"
"10305375","立昇舊貨行","臺北市中正區廈門街101之2號","R_cat","臺北市中正區網溪里17鄰?門街101之2號","302225.371",2768513.051,"臺北市","中正區","網溪里","17鄰"
"18382677","千八拉辦公傢俱電器行","臺北市中正區廈門街101號","R_cat","臺北市中正區網溪里17鄰?門街101號","302225.284",2768520.955,"臺北市","中正區","網溪里","17鄰"
"26344536","一格行","臺北市中正區廈門街107號","R_cat","臺北市中正區網溪里9鄰?門街107號","302225.485",2768500.387,"臺北市","中正區","網溪里","9鄰"
"48940657","翔琳企業社","臺北市中正區廈門街108號3樓","R_cat","臺北市中正區網溪里19鄰?門街108號","302212.095",2768484.668,"臺北市","中正區","網溪里","19鄰"
"48729367","葳葳企業社","臺北市中正區廈門街113巷10之5號1樓","R_cat","臺北市中正區網溪里9鄰?門街113巷10之5號","302317.278",2768461.282,"臺北市","中正區","網溪里","9鄰"
"31873922","雅子工作室","臺北市中正區廈門街113巷22之1號6樓","R_cat","臺北市中正區網溪里2鄰?門街113巷22之1號","302517.973",2768451.246,"臺北市","中正區","網溪里","2鄰"
"18097532","東益冷氣行","臺北市中正區廈門街113巷5號1樓","R_cat","臺北市中正區網溪里9鄰?門街113巷5號","302259.852",2768480.761,"臺北市","中正區","網溪里","9鄰"
"01484539","我喜歡特快餐店","臺北市中正區廈門街113巷9號1樓","R_cat","臺北市中正區網溪里9鄰?門街113巷9號","302277.719",2768483.649,"臺北市","中正區","網溪里","9鄰"
"14335750","力興中古舊貨行","臺北市中正區廈門街117之2號1樓","R_cat","臺北市中正區網溪里17鄰?門街117之2號","302227.423",2768452.189,"臺北市","中正區","網溪里","17鄰"
"48773200","美寶傢俱行","臺北市中正區廈門街129之3號","R_cat",NA,NA,NA,NA,NA,NA,NA
"38585664","?門小吃麵店","臺北市中正區?門街133之4號1樓","R_cat","臺北市中正區網溪里17鄰?門街133之4號","302227.978",2768345.844,"臺北市","中正區","網溪里","17鄰"
"17742999","鈺鑫電器傢俱商行","臺北市中正區廈門街137之1號1樓","R_cat","臺北市中正區網溪里13鄰?門街137之1號","302228.171",2768329.556,"臺北市","中正區","網溪里","13鄰"
"99956126","小熊胖胖映畫製作企業社","臺北市中正區廈門街14巷1號3樓","R_cat","臺北市中正區螢圃里22鄰?門街14巷1號","302237.135",2768798.908,"臺北市","中正區","螢圃里","22鄰"
"14328076","吉高舊貨行","臺北市中正區廈門街16之1號1樓","R_cat","臺北市中正區螢圃里22鄰?門街16之1號","302248.407",2768789.122,"臺北市","中正區","螢圃里","22鄰"
"26367501","建成中古電器行","臺北市中正區?門街16號","R_cat","臺北市中正區螢圃里22鄰?門街16號","302249.89",2768792.98,"臺北市","中正區","螢圃里","22鄰"
"31858372","暗角咖啡","臺北市中正區廈門街1號1樓","R_cat","臺北市中正區南福里14鄰?門街1號","302299.722",2768886.461,"臺北市","中正區","南福里","14鄰"
"21718654","二月工作室","臺北市中正區廈門街22號2樓","R_cat","臺北市中正區螢圃里22鄰?門街22號","302243.324",2768775.895,"臺北市","中正區","螢圃里","22鄰"
"25670054","武易體能顧問社","臺北市中正區?門街25巷4弄2號地下層","R_cat","臺北市中正區螢圃里4鄰?門街25巷4弄2號","302287.203",2768772.249,"臺北市","中正區","螢圃里","4鄰"
"25659683","助勇企業社","臺北市中正區廈門街34巷16號2樓","R_cat","臺北市中正區螢圃里21鄰?門街34巷16號","302148.298",2768758.43,"臺北市","中正區","螢圃里","21鄰"
"81787134","三好商行","臺北市中正區廈門街64號1樓","R_cat","臺北市中正區螢圃里20鄰?門街64號","302214.54",2768641.933,"臺北市","中正區","螢圃里","20鄰"
"26209139","福祥新舊電器行","臺北市中正區廈門街68號","R_cat","臺北市中正區螢圃里20鄰?門街68號","302214.466",2768633.147,"臺北市","中正區","螢圃里","20鄰"
"14321215","潤億電器行","臺北市中正區廈門街69之1號1樓","R_cat","臺北市中正區螢圃里6鄰?門街69之1號","302227.19",2768639.827,"臺北市","中正區","螢圃里","6鄰"
"10330830","佳新電器行","臺北市中正區廈門街70號","R_cat","臺北市中正區螢圃里20鄰?門街70號","302213.75",2768624.248,"臺北市","中正區","螢圃里","20鄰"
"83944602","匯新電器行","臺北市中正區廈門街77號1樓","R_cat","臺北市中正區螢圃里8鄰?門街77號","302231.525",2768610.351,"臺北市","中正區","螢圃里","8鄰"
"31866730","貫旭企業社","臺北市中正區?門街81巷15號4樓","R_cat","臺北市中正區螢圃里11鄰?門街81巷15號","302294.732",2768594.691,"臺北市","中正區","螢圃里","11鄰"
"27175734","千盛電器傢俱行","臺北市中正區廈門街85號1樓","R_cat","臺北市中正區螢圃里16鄰?門街85號","302226.317",2768583.692,"臺北市","中正區","螢圃里","16鄰"
"38563113","樂星時裝","臺北市中正區?門街89之2號","R_cat","臺北市中正區螢圃里16鄰?門街89之2號","302227.059",2768564.332,"臺北市","中正區","螢圃里","16鄰"
"48972355","吉星家具行","臺北市中正區廈門街89之3號","R_cat","臺北市中正區螢圃里16鄰?門街89之3號","302227.059",2768561.205,"臺北市","中正區","螢圃里","16鄰"
"73875726","得欣舊貨行","臺北市中正區廈門街89號","R_cat","臺北市中正區螢圃里16鄰?門街89號","302227.059",2768568.353,"臺北市","中正區","螢圃里","16鄰"
"99328392","福美商行","臺北市中正區廈門街95之1號1樓","R_cat","臺北市中正區螢圃里16鄰?門街95之1號","302225.754",2768540.016,"臺北市","中正區","螢圃里","16鄰"
"83938117","上華舊貨行","臺北市中正區廈門街97號","R_cat","臺北市中正區螢圃里16鄰?門街97號","302225.728",2768535.696,"臺北市","中正區","螢圃里","16鄰"
"38555084","瑋綸工程行","臺北市萬華區?園街40巷2弄45號2樓","R_cat",NA,NA,NA,NA,NA,NA,NA
"26343229","儀嘉室內裝修工作室","臺北市大安區?龍街195巷13號4樓","M_cat",NA,NA,NA,NA,NA,NA,NA
