"Response_X","Response_Y","R_cat","P_cat","M_cat"
302225.371,2768513.051,1,0,0
302225.284,2768520.955,1,0,0
302225.485,2768500.387,1,0,0
302212.095,2768484.668,3,2,0
302317.278,2768461.282,2,0,0
302517.973,2768451.246,1,0,0
302259.852,2768480.761,1,0,0
302277.719,2768483.649,3,0,0
302227.423,2768452.189,1,0,0
302227.978,2768345.844,1,0,0
302228.171,2768329.556,1,0,0
302237.135,2768798.908,1,4,0
302248.407,2768789.122,1,0,0
302249.89,2768792.98,1,0,0
302299.722,2768886.461,1,0,0
302243.324,2768775.895,1,0,0
302287.203,2768772.249,1,0,0
302148.298,2768758.43,1,0,0
302214.54,2768641.933,1,0,0
302214.466,2768633.147,1,0,0
302227.19,2768639.827,1,0,0
302213.75,2768624.248,1,0,0
302231.525,2768610.351,1,0,0
302294.732,2768594.691,1,0,0
302226.317,2768583.692,1,0,0
302227.059,2768564.332,1,0,0
302227.059,2768561.205,2,0,0
302227.059,2768568.353,1,1,0
302225.754,2768540.016,1,0,0
302225.728,2768535.696,1,0,0
303616.698,2771567.541,1,0,0
303617.195,2771570.786,1,0,0
303618.931,2771735.417,4,0,0
303639.021,2771772.843,5,1,0
303638.659,2771799.047,1,0,0
303619.745,2771860.388,1,0,0
303641.273,2771913.697,9,0,0
303619.496,2771874.854,1,0,0
303619.744,2771898.298,3,0,0
303619.495,2771901.79,1,0,0
303616.399,2771918.487,1,0,0
303636.236,2771552.859,1,0,0
306176.274,2763676.398,1,0,0
306177.238,2763671.701,1,0,0
306108.502,2763642.999,1,0,0
297279.166,2780163.583,5,0,1
297257.307,2780127.691,0,0,1
303495.635,2770705.367,3,2,0
303519.191,2770717.767,3,0,0
303634.514,2770832.988,4,1,0
303571.074,2770731.719,66,39,8
303656.796,2770754.505,1,1,0
303660.844,2770755.571,2,0,0
303698.921,2770712.461,1,1,0
303673.717,2770747.488,2,1,0
303678.392,2770730.22,3,0,0
303624.333,2770709.966,1,0,0
303619.404,2770708.966,1,0,0
303646.134,2770702.901,1,0,0
303611.246,2770707.31,1,0,0
303631.126,2770700.492,1,0,0
303649.755,2770714.924,1,0,0
303645.709,2770714.177,1,0,0
303641.235,2770713.325,1,0,0
304105.327,2770959.454,6,2,2
304077.651,2770743.367,2,0,1
304227.595,2771014.572,1,0,0
304285.126,2770999.362,1,0,0
304357.618,2770960.889,4,0,0
304376.605,2771041.034,1,0,0
304387.558,2771043.015,1,0,0
304390.863,2771043.612,1,0,0
304392.098,2771018.743,1,0,0
304497.886,2771063.511,1,2,1
304490.513,2771037.033,1,0,0
304509.748,2771066.659,3,3,1
303930.081,2770835.886,1,1,0
304563.334,2771082.147,1,2,0
304570.462,2771084.047,2,5,0
304639.683,2771102.989,1,0,0
303938.406,2770840.778,1,0,0
304653.481,2771106.755,2,1,0
304657.839,2771107.944,1,0,0
303855.819,2770835.146,1,0,2
304671.514,2771084.776,1,0,0
304681.657,2771114.447,1,0,0
304676.42,2771086.178,5,0,0
304686.208,2771115.689,2,0,1
304690.323,2771090.152,1,0,0
304694.481,2771091.34,1,0,0
304720.916,2771125.084,1,0,0
304743.282,2770957.746,1,0,0
304745.909,2770949.838,1,0,0
304767.204,2770869.777,1,0,0
304782.23,2771115.634,5,2,0
303864.296,2770839.884,1,0,0
304799.936,2771146.803,1,0,0
304814.526,2771150.812,2,0,0
304845.417,2771159.258,1,0,0
305047.109,2771116.993,1,0,0
305078.768,2771062.055,3,0,0
305022.238,2771181.25,5,5,0
305048.46,2771188.86,2,0,0
305056.38,2771191.012,3,2,0
305068.071,2771194.006,11,13,1
305082.092,2771181.736,1,0,0
305083.28,2771154.332,1,0,0
305096.541,2771139.664,1,0,0
305096.92,2771133.907,1,0,0
305096.673,2771130.433,1,0,0
305084.556,2771144.014,2,0,0
305084.744,2771136.42,2,0,0
